"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Mali, Sawanta S","2015-08-14","Highly stable and efficient solid-state solar cells based on methylammonium lead bromide (CH3NH3PbBr3) perovskite quantum dots","https://www.nature.com/articles/am201586","10.1038/am.2015.86","SLG | FTO","PTAA","MAPbBr3","MAPbBr","MA","1.0","Pb","1.0","Br","3.0","TiO2","Au","FALSE","","","","","","","","Spin-coating","4000 rpm 15 s","450 C 30 min","Evaporation","80 nm"
"Huang, He","2016-11-18","Colloidal lead halide perovskite nanocrystals: synthesis, optical properties and applications","https://www.nature.com/articles/am2016167","10.1038/am.2016.167","SLG | ITO","pedot:pss","MAPbBr3","MAPbBr","MA","1.0","Pb","1.0","Br","3.0","TiO2","Au","FALSE","","","","","","","","","","","Evaporation","60-100 nm"
"Im, Hyeon-Gyun","2016-06-24","Hybrid crystalline-ITO/metal nanowire mesh transparent electrodes and their application for highly flexible perovskite solar cells","https://www.nature.com/articles/am201685","10.1038/am.2016.85","PET | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC60BM","Ag","TRUE","pin","Spin-coating","4000 rpm 30 s","","Spin-coating","500 rpm 5 s 1000 rpm 10 s 2000 rpm 30 s","","Spin-coating","3000 rpm 45 s","","Evaporation","150 nm"
"Wei, Haoming","2017-06-30","Flash-evaporation printing methodology for perovskite thin films","https://www.nature.com/articles/am201791","10.1038/am.2017.91","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Au","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","4000 rpm 40 s","","Evaporation","60-100 nm"
"Zhao, Yi-Cheng","2016-10-21","Quantification of light-enhanced ionic transport in lead iodide perovskite thin films and its solar cell applications","https://www.nature.com/articles/lsa2016243","10.1038/lsa.2016.243","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 40 s","","Spin-coating","3000 rpm 30 s","110 C 10 min","Spin-coating","4000 rpm 30 s","110 C 10 min","Evaporation","90 nm"
"Li, Zhen","2018-03-27","Scalable fabrication of perovskite solar cells","https://www.nature.com/articles/natrevmats201817","10.1038/natrevmats.2018.17","PET | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","carbon","TRUE","nip","","","","Spin-coating","","","","","","Screen printing","80-120 nm"
"Burschka, Julian","2013-07-10","Sequential deposition as a route to high-performance perovskite-sensitized solar cells","https://www.nature.com/articles/nature12340","10.1038/nature12340","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","6500 rpm 5 s","","Spray pyrolysis","5000 rpm 30 s","","Evaporation","80 nm"
"Liu, Mingzhen","2013-09-11","Efficient planar heterojunction perovskite solar cells by vapour deposition","https://www.nature.com/articles/nature12509","10.1038/nature12509","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","2000 rpm 45 s","","","","","Spin-coating","","","Evaporation","80-120 nm"
"Jeon, Nam Joong","2015-01-07","Compositional engineering of perovskite materials for high-performance solar cells","https://www.nature.com/articles/nature14133","10.1038/nature14133","SLG | FTO","PTAA","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","Spin-coating","3000 rpm 30 s","","Spin-coating","1000 rpm 40 s 5000 rpm 20 s","","Spin-coating","","","Evaporation","60-100 nm"
"Tsai, Hsinhan","2016-07-06","High-efficiency two-dimensional Ruddlesden–Popper perovskite solar cells","https://www.nature.com/articles/nature18306","10.1038/nature18306","SLG | FTO","pedot:pss","(BA)2(MA)3Pb4I13","BAMAPbI","MA, BA","3.0, 2.0","Pb","4.0","I","13.0","PCBM","Au","FALSE","pin","Spin-coating","5000 rpm 45 s","","","","","Spin-coating","1000 rpm 60 s","","Evaporation","60-100 nm"
"Ummadisingu, Amita","2017-04-26","The effect of illumination on the formation of metal halide perovskite films","https://www.nature.com/articles/nature22072","10.1038/nature22072","UNKNOWN","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","","","Spin-coating","6500 rpm 20 s","","Spin-coating","","","Evaporation","80-120 nm"
"Chen, Han","2017-09-06","A solvent- and vacuum-free route to large-area perovskite films for efficient solar modules","https://www.nature.com/articles/nature23877","10.1038/nature23877","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","","100 C 10 min","Spray pyrolysis","","","Evaporation","80 nm"
"Kim, Yong Churl","2017-10-05","Printable organometallic perovskite enables large-area, low-dose X-ray imaging","https://www.nature.com/articles/nature24032","10.1038/nature24032","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","","FALSE","nip","","","","Spin-coating","2000 rpm 30 s","","","","","",""
